id,printerid,time_reserved,time_complete,userId,is_active,is_egn_reservation
29,3,2025-02-25 22:46:29.534637 -0500 -0500,2025-02-25 22:47:29.534637 -0500 -0500,6400130008238964,false,false
30,3,2025-02-25 23:02:44.2458392 -0500 -0500,2025-02-25 23:04:44.2458392 -0500 -0500,6400130008238964,false,false
31,3,2025-03-04 13:03:29.6383408 -0500 -0500,2025-03-04 13:33:29.6383408 -0500 -0500,6400130008238964,false,false
32,1,2025-03-13 10:31:18.7041066 -0400 -0400,2025-03-13 10:32:18.7041066 -0400 -0400,6400130008238964,false,false
33,2,2025-03-13 10:36:57.055736 -0400 -0400,2025-03-13 10:37:57.055736 -0400 -0400,6400130008238964,false,false
34,1,2025-03-13 14:21:26.472156 -0400 -0400,2025-03-13 14:22:26.472156 -0400 -0400,6400130008238964,false,false
35,3,2025-03-22 21:19:17.462346 -0400 -0400,2025-03-22 21:49:17.462346 -0400 -0400,6400130008238964,false,false
36,13,2025-03-22 21:19:20.2869717 -0400 -0400,2025-03-22 21:49:20.2869717 -0400 -0400,6400130008238964,false,true
37,1,2025-03-25 10:04:56.3077937 -0400 -0400,2025-03-25 10:19:56.3077937 -0400 -0400,6400130008238964,false,false
38,2,2025-03-25 10:05:00.2982263 -0400 -0400,2025-03-25 10:20:00.2982263 -0400 -0400,6400130008238964,false,false
41,1,2025-03-25 11:03:42.9185329 -0400 -0400,2025-03-25 11:18:42.9185329 -0400 -0400,6400130008238964,false,false
42,2,2025-03-25 11:03:45.7573967 -0400 -0400,2025-03-25 11:18:45.7573967 -0400 -0400,6400130008238964,false,false
43,2,2025-03-25 12:17:36.5661342 -0400 -0400,2025-03-25 12:47:36.5661342 -0400 -0400,6400130008238964,false,false
